PointID	Year	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
00898	1976	1320.00	1120.00	1230.00	3910.00	8900.00	12200.00	20400.00	10600.00	7020.00	5470.00	5070.00	2070.00
00898	1977	1840.00	1810.00	1390.00	2980.00	5030.00	18200.00	15200.00	13600.00	6120.00	6230.00	4780.00	2100.00
00898	1978	2370.00	1540.00	2000.00	3950.00	15200.00	17700.00	8940.00	7930.00	9230.00	6370.00	4740.00	2490.00
00898	1979	1920.00	2400.00	1880.00	4750.00	11800.00	13100.00	19400.00	19300.00	17000.00	4270.00	2370.00	1540.00
00898	1980	1430.00	1320.00	2060.00	5020.00	9080.00	7010.00	13200.00	14800.00	9570.00	3880.00	2560.00	16200.00
00898	1981	1490.00	1640.00	2420.00	7170.00	11900.00	11700.00	14900.00	10200.00	5930.00	4990.00	4610.00	2440.00
00898	1982	1680.00	2510.00	2480.00	5160.00	10900.00	14100.00	6150.00	13300.00	8050.00	5870.00	5840.00	4610.00
00898	1983	3880.00	3910.00	9670.00	4600.00	10200.00	18500.00	7460.00	9900.00	12100.00	6610.00	4000.00	2360.00
