PointID	Year	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
00924	1976	510.00	420.00	530.00	1110.00	1040.00	1360.00	1540.00	1640.00	1500.00	683.00	352.00	244.00
00924	1977	153.00	162.00	206.00	785.00	749.00	1110.00	2270.00	2720.00	1790.00	773.00	591.00	272.00
00924	1978	212.00	144.00	175.00	624.00	925.00	889.00	1060.00	1290.00	817.00	786.00	450.00	227.00
00924	1979	173.00	146.00	158.00	410.00	708.00	547.00	603.00	645.00	876.00	879.00	413.00	252.00
00924	1980	206.00	238.00	220.00	579.00	959.00	1430.00	2040.00	2300.00	2270.00	2780.00	1070.00	472.00
00924	1981	458.00	507.00	491.00	1260.00	1440.00	1530.00	2990.00	4280.00	3800.00	2330.00	828.00	579.00
00924	1982	450.00	341.00	325.00	879.00	1310.00	770.00	598.00	1160.00	1380.00	889.00	543.00	360.00
00924	1983	233.00	250.00	235.00	724.00	1440.00	1820.00	1980.00	4770.00	3040.00	1620.00	775.00	379.00
